CIDADE,DT_ACESSO,DT_PREVISAO,HORARIO,TEMPERATURA
São Paulo,2022-08-31,2022-09-02,00:00:00,14
São Paulo,2022-08-31,2022-09-02,01:00:00,13
São Paulo,2022-08-31,2022-09-02,02:00:00,13
São Paulo,2022-08-31,2022-09-02,03:00:00,12
São Paulo,2022-08-31,2022-09-02,04:00:00,12
São Paulo,2022-08-31,2022-09-02,05:00:00,11
São Paulo,2022-08-31,2022-09-02,06:00:00,11
São Paulo,2022-08-31,2022-09-02,07:00:00,11
São Paulo,2022-08-31,2022-09-02,08:00:00,13
São Paulo,2022-08-31,2022-09-02,09:00:00,17
São Paulo,2022-08-31,2022-09-02,10:00:00,21
São Paulo,2022-08-31,2022-09-02,11:00:00,24
São Paulo,2022-08-31,2022-09-02,12:00:00,25
São Paulo,2022-08-31,2022-09-02,13:00:00,27
São Paulo,2022-08-31,2022-09-02,14:00:00,28
São Paulo,2022-08-31,2022-09-02,15:00:00,29
São Paulo,2022-08-31,2022-09-02,16:00:00,29
São Paulo,2022-08-31,2022-09-02,17:00:00,29
São Paulo,2022-08-31,2022-09-02,18:00:00,27
